name;u;v;targetU;targetV;d;R;G;B;W;A;
-20;0.14873496809255107;0.4690240813871088;0.1487;0.469;1.802680701746979e-9;			18;242;55;123;0
-10;0.17557063021213964;0.4690391353242526;0.17555;0.469;1.9571792572861714e-9;			3;255;63;200;64
0;0.2024043039578923;0.4690398379889408;0.2024;0.469;1.6055894163864418e-9;			36;151;56;246;40
10;0.22923961329869474;0.46901489116048434;0.22925;0.469;3.2963022457590377e-10;			90;222;63;55;198
20;0.25613236888636565;0.46888957459435654;0.2561;0.4689;1.1564338873828676e-9;			104;128;62;198;170
30;0.28295389116100905;0.46898318044155013;0.28295;0.469;2.9803868044622134e-10;			55;45;54;126;245
40;0.3098270173664014;0.46886920514228286;0.3098;0.4689;1.6782613490836493e-9;			253;89;57;153;99
50;0.33663687557776834;0.4689239621857879;0.33665;0.4689;7.46436806650372e-10;			206;37;56;80;244
60;0.36349135795119464;0.46890626452078155;0.3635;0.4689;1.1392922817671198e-10;			240;0;53;88;219
-21;0.15281117637063066;0.44832521982821544;0.1528;0.4483;7.609509956914129e-10;			13;120;46;63;19
-11;0.1775993994020143;0.45857966691832847;0.1776;0.4586;4.1379492820202757e-10;			23;249;65;96;114
1;0.20239543300008336;0.4688854855006982;0.2024;0.4689;2.315281782201199e-10;			42;170;57;206;62
11;0.22721396302157423;0.47915660818013184;0.2272;0.4792;2.077816002954471e-9;			36;49;40;180;10
21;0.25200296443215203;0.48948462953527877;0.252;0.4895;2.450390437302766e-10;			67;116;51;246;171
31;0.2767612013478085;0.4997114145266547;0.2768;0.4997;1.6356268306259954e-9;			158;133;42;101;101
41;0.30162355173055516;0.510022909699222;0.3016;0.51;1.0795383305877513e-9;			141;103;38;53;173
51;0.3264001122523026;0.5203065268594281;0.3264;0.5203;4.26124945742153e-11;			70;4;30;138;253
-32;0.14536850578641508;0.41188879008929963;0.1454;0.4119;1.1175475872426505e-9;			9;238;74;23;67
-22;0.1644166902054536;0.43088808506047543;0.1644;0.4309;4.205287419579714e-10;			8;246;79;173;34
-12;0.18338110557661877;0.44989406206477545;0.1834;0.4499;3.922583096407417e-10;			11;255;71;60;162
2;0.20241476010341836;0.46891430476697377;0.2024;0.4689;4.2248701109490266e-10;			38;220;61;103;154
12;0.22141753658966007;0.4878801503256647;0.2214;0.4879;7.015415481236644e-10;			3;229;60;193;255
22;0.24039125843135864;0.5069125720656146;0.2404;0.5069;2.34471856128404e-10;			141;248;47;161;147
32;0.259398684521424;0.5259035404123881;0.2594;0.5259;1.4265003761315292e-11;			27;0;2;255;6
-53;0.15102437450653;0.3449079474237649;0.151;0.3449;6.572781130805262e-10;			27;236;110;5;66
-43;0.16129922715042025;0.36969623769263954;0.1613;0.3697;1.4752253147289007e-11;			72;224;90;14;3
-33;0.17164388480209078;0.3944876065925856;0.1716;0.3945;2.0794724018868122e-9;			24;136;73;118;17
-23;0.18180050421823954;0.41929791299546726;0.1818;0.4193;4.609823952801318e-12;			8;219;92;233;54
-13;0.19208727723232621;0.44408814375601835;0.1921;0.4441;3.024393386332345e-10;			58;224;68;60;108
3;0.2023792430552216;0.4689064626362191;0.2024;0.4689;4.726164234344104e-10;			19;80;45;183;16
13;0.2127027909219486;0.49371347022918266;0.2127;0.4937;1.8923631955584646e-10;			7;178;48;127;168
22;0.22300917659443426;0.5185092539734261;0.223;0.5185;1.6984590958178008e-10;			151;255;39;192;20
33;0.2332105463042632;0.5433052757062138;0.2332;0.5433;1.3905760966607787e-10;			88;191;24;50;127
-94;0.20239462489214616;0.22725199453054035;0.2024;0.22725;3.286993651674556e-11;			55;10;244;159;52
-84;0.20238345487295817;0.25410993236140583;0.2024;0.2541;3.7239303192645417e-10;			13;42;156;50;121
-74;0.20241084099381867;0.28094081261805287;0.2024;0.28095;2.0193513401864044e-10;			102;146;235;131;90
-64;0.20235933119979727;0.3077987916812001;0.2024;0.3078;1.6554113442518677e-9;			0;98;136;48;156
-54;0.2024036735360577;0.3346420525998139;0.2024;0.33465;7.665603688553413e-11;			93;252;234;248;147
-44;0.20241385599070458;0.3615075746261273;0.2024;0.3615;2.4936343937421727e-10;			35;254;174;127;255
-34;0.2023954222311791;0.38836849571298326;0.2024;0.38835;3.6304736613788847e-10;			30;164;95;60;161
-24;0.2024274653010806;0.4152329079699144;0.2024;0.4152;1.8372772473354019e-9;			37;209;97;154;151
-14;0.20240023554822315;0.44206165528882185;0.2024;0.44205;1.3590124048627788e-10;			18;190;78;208;127
4;0.20241420487344822;0.46887761912391634;0.2024;0.4689;7.0268204395114e-10;			15;56;40;131;3
14;0.20235865200460162;0.49575872824700734;0.2024;0.49575;1.785839019284526e-9;			102;233;45;7;82
24;0.20239500132521115;0.5225660544894736;0.2024;0.5226;1.1772844345410859e-9;			23;138;34;137;78
34;0.20240506055846041;0.5494487369918817;0.2024;0.54945;2.7204441438232293e-11;			3;232;1;166;148
